runningTime, 20, numsOfImmedProposer, 1, numsOfNormalProposer, null, numsOfLateProposer, null, numsOfNeverProposer, null, numsOfAcceptor, 1
runningTime, 10, numsOfImmedProposer, 1, numsOfNormalProposer, null, numsOfLateProposer, null, numsOfNeverProposer, null, numsOfAcceptor, 1
runningTime, 22, numsOfImmedProposer, 1, numsOfNormalProposer, null, numsOfLateProposer, null, numsOfNeverProposer, null, numsOfAcceptor, 1
runningTime, 14, numsOfImmedProposer, 1, numsOfNormalProposer, null, numsOfLateProposer, null, numsOfNeverProposer, null, numsOfAcceptor, 1
runningTime, 25, numsOfImmedProposer, 1, numsOfNormalProposer, null, numsOfLateProposer, null, numsOfNeverProposer, null, numsOfAcceptor, 1
runningTime, 17, numsOfImmedProposer, 1, numsOfNormalProposer, null, numsOfLateProposer, null, numsOfNeverProposer, null, numsOfAcceptor, 1
runningTime, 16, numsOfImmedProposer, 1, numsOfNormalProposer, null, numsOfLateProposer, null, numsOfNeverProposer, null, numsOfAcceptor, 1
runningTime, 18, numsOfImmedProposer, 1, numsOfNormalProposer, null, numsOfLateProposer, null, numsOfNeverProposer, null, numsOfAcceptor, 1
runningTime, 15, numsOfImmedProposer, 1, numsOfNormalProposer, null, numsOfLateProposer, null, numsOfNeverProposer, null, numsOfAcceptor, 1
runningTime, 18, numsOfImmedProposer, 1, numsOfNormalProposer, null, numsOfLateProposer, null, numsOfNeverProposer, null, numsOfAcceptor, 1
